revision,unique_types,entropy
1934,4,0.448
1935,4,0.469
1937,5,0.513
1938,7,0.713
1939,1,0.0
1941,4,0.488
1942,0,0.0
1959,9,0.756
1961,3,0.353
1962,2,0.235
1965,3,0.406
1967,7,0.672
1969,2,0.208
1971,2,0.256
1972,3,0.36
1981,3,0.313
1985,3,0.406
1988,1,0.0
1993,0,0.0
1997,4,0.492
2000,1,0.0
2007,4,0.473
2013,6,0.628
2014,6,0.325
2016,4,0.492
2017,2,0.208
2018,3,0.39
2019,4,0.36
2025,5,0.522
2026,6,0.602
2027,6,0.451
2028,2,0.256
2029,1,0.0
2031,5,0.553
2032,1,0.0
2033,3,0.272
2034,5,0.576
2039,8,0.648
2047,1,0.0
2048,1,0.0
2049,7,0.653
2051,7,0.653
2052,2,0.235
2063,8,0.648
2064,2,0.256
2065,2,0.151
2068,1,0.0
2072,8,0.207
2074,1,0.0
2075,3,0.384
2078,2,0.235
2089,3,0.363
2091,1,0.0
2092,8,0.579
2106,3,0.373
2112,5,0.563
2114,4,0.491
2116,2,0.235
2120,4,0.478
2126,4,0.164
2136,2,0.256
2137,2,0.256
2138,2,0.235
2141,9,0.662
2144,1,0.0
2146,1,0.0
2149,4,0.384
2157,3,0.384
2165,0,0.0
2166,2,0.235
2180,2,0.235
2183,1,0.0
2184,2,0.256
2185,3,0.384
2186,2,0.235
2187,4,0.492
2190,3,0.406
2191,2,0.256
2192,4,0.492
2194,3,0.353
2197,1,0.0
2200,6,0.606
2210,4,0.431
2211,10,0.637
2213,1,0.0
2217,3,0.406
2225,5,0.559
2228,1,0.0
2229,3,0.27
2233,0,0.0
2237,3,0.384
2242,1,0.0
2252,8,0.474
2253,0,0.0
2254,1,0.0
2264,2,0.256
2266,1,0.0
2282,1,0.0
2284,3,0.085
2285,3,0.095
2287,1,0.0
2292,1,0.0
2298,2,0.256
2301,4,0.477
2302,7,0.662
2303,1,0.0
2307,1,0.0
2308,1,0.0
2311,1,0.0
2312,2,0.256
2317,3,0.371
2319,7,0.698
2324,7,0.674
2326,2,0.256
2327,5,0.558
2330,2,0.208
2343,8,0.715
2344,3,0.406
2345,3,0.384
2346,7,0.672
2356,3,0.258
2358,2,0.256
2364,4,0.512
2369,3,0.373
2370,2,0.235
2383,9,0.682
2384,1,0.0
2386,5,0.572
2387,3,0.384
2389,1,0.0
2395,9,0.63
