file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
459,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
476,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
477,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
479,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490,6,2,3,0,0,2,0,0,0,0,0,3,0,0,0,4
492,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0
493,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
513,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
529,0,27,0,0,0,9,0,0,0,0,0,2,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,0,0,24,0,0,2,0,0,0,0,0,1,0,0,0,0
554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,1,5,0,0,0,10,0,0,0,0,1,2,0,0,0,3
560,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
562,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0,0,10,0,0,0,6,6,0,0,0,0,0,0,0,0
576,0,0,48,0,0,3,0,0,0,0,0,8,0,0,0,0
580,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0
587,0,1,8,0,1,1,3,2,0,0,0,5,0,0,0,2
597,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
605,0,2,57,3,1,3,22,9,0,0,2,12,0,0,0,1
614,0,2,57,3,1,3,22,9,0,0,2,12,0,0,0,1
617,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
623,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
627,6,4,23,1,0,1,12,1,0,0,0,7,0,0,0,2
628,0,3,20,0,0,11,2,2,0,0,0,3,0,0,0,0
631,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0
632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0
