revision,unique_types,entropy
3195,1,0.0
3197,5,0.428
3198,2,0.256
3200,0,0.0
3201,5,0.512
3204,5,0.512
3205,5,0.512
3212,2,0.235
3216,1,0.0
3219,0,0.0
3223,0,0.0
3224,1,0.0
3229,2,0.235
3240,3,0.384
3243,1,0.0
3245,2,0.208
3249,2,0.256
3250,4,0.431
3256,1,0.0
3262,7,0.569
3264,1,0.0
3272,1,0.0
3273,6,0.618
3274,1,0.0
3277,1,0.0
3278,1,0.0
3280,6,0.618
3281,1,0.0
3282,6,0.646
3283,6,0.646
3285,4,0.512
3288,3,0.299
3290,3,0.299
3296,6,0.595
3299,4,0.384
3301,4,0.384
3304,1,0.0
3306,1,0.0
3308,1,0.0
3312,2,0.235
3313,3,0.406
3314,3,0.39
3315,1,0.0
3323,1,0.0
3326,2,0.235
3327,2,0.031
3330,2,0.235
3335,1,0.0
3336,1,0.0
3341,1,0.0
3343,2,0.256
3347,2,0.256
3352,1,0.0
3353,1,0.0
3356,4,0.395
3358,1,0.0
3362,3,0.406
3366,2,0.256
3367,1,0.0
3371,1,0.0
3374,1,0.0
3379,1,0.0
3385,1,0.0
3386,2,0.256
3389,1,0.0
3395,1,0.0
3397,5,0.509
3401,3,0.406
3406,2,0.185
3411,1,0.0
3418,1,0.0
3442,0,0.0
3447,1,0.0
3456,1,0.0
3458,0,0.0
3459,2,0.256
3460,0,0.0
3463,2,0.235
3471,2,0.256
3473,3,0.384
3474,7,0.63
3476,1,0.0
3478,7,0.63
3479,0,0.0
3482,1,0.0
3490,1,0.0
3493,7,0.63
3497,7,0.63
3498,4,0.472
3499,1,0.0
3501,2,0.256
3512,1,0.0
3515,4,0.512
3522,2,0.256
3523,0,0.0
3528,1,0.0
3529,2,0.256
3530,2,0.235
3532,2,0.235
3533,1,0.0
3535,0,0.0
3536,5,0.527
3542,1,0.0
3543,1,0.0
3548,3,0.39
3553,1,0.0
3562,1,0.0
3569,1,0.0
3570,2,0.256
3578,7,0.649
3580,5,0.55
3586,3,0.406
3587,3,0.367
3588,7,0.649
3591,5,0.319
3595,1,0.0
3606,0,0.0
3607,2,0.256
3610,2,0.235
3611,4,0.472
3615,1,0.0
3617,1,0.0
3618,2,0.038
3621,15,0.474
3622,14,0.729
3623,12,0.734
3646,1,0.0
3647,1,0.0
3649,1,0.0
3654,0,0.0
3655,1,0.0
3656,0,0.0
3658,6,0.573
3661,0,0.0
3674,2,0.256
3678,1,0.0
3679,3,0.384
3703,1,0.0
3709,1,0.0
3710,1,0.0
3712,3,0.373
3713,1,0.0
3716,1,0.0
3726,2,0.256
3728,3,0.39
3729,1,0.0
3737,3,0.353
3738,11,0.523
3739,11,0.523
3743,2,0.185
3745,6,0.553
3753,1,0.0
3761,1,0.0
3762,3,0.39
3763,0,0.0
3766,0,0.0
3769,1,0.0
3772,1,0.0
3777,2,0.256
3795,3,0.332
3801,0,0.0
3802,0,0.0
3803,2,0.235
3805,1,0.0
3807,0,0.0
3808,2,0.166
3810,1,0.0
3811,1,0.0
3812,1,0.0
3820,1,0.0
3821,4,0.492
3823,2,0.1
3827,7,0.551
3829,3,0.353
3833,4,0.426
3834,2,0.179
3835,11,0.628
3837,3,0.406
3840,2,0.235
3841,0,0.0
3843,1,0.0
3844,1,0.0
3845,4,0.365
3846,1,0.0
3850,0,0.0
3852,6,0.492
3853,4,0.492
3855,3,0.353
3856,3,0.39
3859,6,0.492
3865,1,0.0
3867,1,0.0
3876,5,0.545
3882,3,0.384
3895,3,0.335
3902,0,0.0
3903,2,0.235
3905,4,0.424
3906,3,0.32
3911,4,0.488
3917,0,0.0
3919,3,0.384
3920,1,0.0
3929,1,0.0
3930,3,0.406
3938,2,0.256
3943,0,0.0
3946,1,0.0
3948,0,0.0
3949,7,0.566
3956,2,0.076
3960,3,0.406
3969,1,0.0
3970,5,0.572
3971,1,0.0
3972,6,0.492
3973,2,0.256
3978,2,0.249
3979,5,0.401
3980,1,0.0
3983,1,0.0
3984,1,0.0
3992,4,0.512
3993,1,0.0
3997,7,0.666
3999,0,0.0
4000,3,0.39
4002,5,0.499
4007,1,0.0
4015,1,0.0
4018,1,0.0
4019,1,0.0
4020,2,0.249
4021,5,0.526
4027,2,0.256
4028,1,0.0
4031,2,0.235
4033,1,0.0
4034,8,0.68
4038,4,0.484
4041,2,0.235
4043,1,0.0
4044,2,0.256
4045,2,0.166
4046,0,0.0
4050,2,0.235
4051,9,0.631
4052,1,0.0
4058,1,0.0
4059,0,0.0
4068,2,0.256
4069,1,0.0
4070,2,0.256
4077,2,0.252
4085,7,0.585
