revision,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
601,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
616,1,2,3,0,0,11,0,2,0,0,0,1,0,0,0,0
618,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
630,0,2,57,3,1,4,22,9,0,0,2,13,0,0,0,1
634,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
650,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
652,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
653,0,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0
658,0,0,26,0,0,4,1,3,1,0,0,1,0,0,0,2
665,0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,0
666,1,0,13,0,0,1,2,3,0,0,0,1,0,0,0,0
667,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,1
668,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
673,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0
674,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
676,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3
677,1,6,1,0,0,3,0,8,0,0,0,3,0,0,0,5
679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
681,9,18,55,0,0,16,65,10,0,0,0,15,0,0,0,2
682,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
683,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
686,1,1,99,0,4,0,28,0,0,0,0,3,0,0,0,4
687,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,5
691,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
698,0,1,46,1,0,27,22,0,0,0,0,0,0,0,0,1
701,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0
703,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
709,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
711,0,1,0,0,0,0,7,2,0,0,0,14,0,0,0,2
713,0,3,2,0,0,2,0,0,0,0,0,2,0,0,0,4
721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
